id,name,mage,quantity,price,warehouse_id,description,color,length,width,height,weight,material,origin,created_at,published_at,updated_at,is_active
1,Sony WH-1000XM4 Headphones,https://placekitten.com/795/433,785,870.72,67,A smart video doorbell that lets you see and talk to visitors from anywhere via your smartphone.,Black,66.83,74.2,3.1,7.6,Plastic,Spain,2024/8/4,2024/8/12,2024/10/2,TRUE
2,Canon EOS Rebel T7 DSLR,https://placeimg.com/670/863/any,578,984.53,85,"A premium coffee machine that brews both coffee and espresso with one button, delivering café-style beverages at home.",White,37.33,92.66,40.85,8.44,Wood,Kenya,2024/6/28,2024/9/1,2024/9/13,TRUE
3,Bose SoundLink Bluetooth Speaker,https://placeimg.com/121/788/any,94,639.9,84,A powerful cordless vacuum that captures deep-down dirt and pet hair with ease. Ideal for homes with pets.,Red,81.2,24.63,55.18,9.99,Wood,Nauru,2024/6/6,2024/4/26,2024/3/29,FALSE
4,Instant Pot Duo,https://placeimg.com/778/268/any,397,262.02,28,"High-quality wireless earbuds with active noise cancellation and superior sound quality, perfect for daily commuting.",White,28.17,13.39,82.81,8.57,Wood,Bermuda,2024/8/5,2024/8/10,2024/2/21,TRUE
5,Fitbit Versa 3,https://placeimg.com/717/439/any,852,43.51,42,"A portable Bluetooth speaker that delivers crisp sound quality with deep bass, ideal for outdoor gatherings and parties.",Black,85.2,88.38,26.07,2.37,Textile,Cambodia,2024/5/2,2024/1/22,2024/4/9,FALSE
6,Tile Mate Key Finder,https://placekitten.com/531/360,648,849.41,30,"A stunning 4K television with vivid colors and high dynamic range (HDR), offering a great viewing experience.",Blue,93.59,90.86,35.24,7.19,Wood,Bahrain,2024/1/3,2024/4/7,2024/3/29,FALSE
7,KitchenAid Stand Mixer,https://www.lorempixel.com/603/814,678,641.2,57,"A high-performance smartphone with a 120Hz display and a powerful camera, great for photography enthusiasts.",Yellow,98.75,82.41,5.49,8.75,Textile,Azerbaijan,2024/1/21,2024/4/11,2024/4/8,TRUE
8,Canon EOS Rebel T7 DSLR,https://placeimg.com/555/51/any,604,533.14,38,"A portable Bluetooth speaker that delivers crisp sound quality with deep bass, ideal for outdoor gatherings and parties.",Black,74.99,95.82,58.3,9.84,Textile,Peru,2024/1/27,2024/10/9,2024/2/25,FALSE
9,Anova Precision Cooker,https://placekitten.com/788/229,172,402.58,84,"A versatile countertop oven that does everything from toasting to air frying, making it a must-have in any kitchen.",Yellow,40.97,66.17,34.91,0.58,Metal,Afghanistan,2024/4/12,2024/8/2,2024/8/12,FALSE
10,Instant Pot Duo,https://placeimg.com/163/871/any,290,166.38,4,"A high-performance smartphone with a 120Hz display and a powerful camera, great for photography enthusiasts.",Black,44.52,27.39,15.85,8.81,Glass,Nepal,2024/2/29,2024/3/10,2024/2/2,TRUE
11,KitchenAid Stand Mixer,https://placekitten.com/874/718,406,351.38,29,"A user-friendly DSLR camera ideal for beginners, with a range of features to help you capture stunning photos and videos.",Yellow,48.83,19.94,37.72,2.17,Glass,United States Minor Outlying Islands,2024/2/17,2024/3/31,2024/8/10,FALSE
12,Nespresso Vertuo Coffee Machine,https://placekitten.com/940/608,55,223.33,70,"High-quality wireless earbuds with active noise cancellation and superior sound quality, perfect for daily commuting.",Black,37.82,29.88,73.17,7.99,Textile,Anguilla,2024/5/31,2024/8/17,2024/4/15,TRUE
13,Sony WH-1000XM4 Headphones,https://placekitten.com/249/998,942,473.59,67,A versatile pressure cooker that lets you cook meals up to 70% faster than traditional methods. Great for busy families.,Red,96.63,27.82,87.75,5.83,Wood,Indonesia,2024/2/19,2024/9/4,2024/1/18,FALSE
14,Sony WH-1000XM4 Headphones,https://www.lorempixel.com/834/836,783,933.32,96,"A portable gaming console that lets you play your favorite games anywhere, anytime. Ideal for gamers on the go.",White,96.39,11.41,71.13,0.11,Textile,Congo,2024/9/11,2024/6/1,2024/4/5,TRUE
15,Samsung Galaxy S21,https://placekitten.com/739/207,381,713.85,11,"A high-performance smartphone with a 120Hz display and a powerful camera, great for photography enthusiasts.",Yellow,63.52,87.36,30.24,2.95,Metal,Madagascar,2024/4/24,2024/7/9,2024/4/7,TRUE
16,GoPro HERO9 Action Camera,https://placekitten.com/474/995,398,62.32,10,"High-quality wireless earbuds with active noise cancellation and superior sound quality, perfect for daily commuting.",Green,84.99,95.67,1.07,7.33,Metal,Saint Martin,2024/6/14,2024/6/15,2024/8/24,FALSE
17,Nespresso Vertuo Coffee Machine,https://dummyimage.com/830x656,453,49.52,34,A powerful cordless vacuum that captures deep-down dirt and pet hair with ease. Ideal for homes with pets.,Blue,52.2,34.63,14.15,2.46,Glass,Nigeria,2024/9/1,2024/5/21,2024/2/24,FALSE
18,Ring Video Doorbell,https://dummyimage.com/656x855,947,919.73,9,"A smart robot vacuum that cleans your home effortlessly, designed for homes with pets and allergies.",Black,24.56,54.47,45.5,2.77,Metal,Congo,2024/1/8,2024/6/21,2024/7/3,FALSE
19,TCL 55" 4K TV,https://dummyimage.com/83x917,571,58.45,46,"A durable and waterproof action camera that captures stunning 5K video, perfect for adventure seekers.",Red,52.83,87.96,31.7,8.14,Glass,Peru,2024/5/20,2024/2/26,2024/6/15,FALSE
20,Ring Video Doorbell,https://placekitten.com/622/89,939,962.69,84,"A smartwatch with fitness tracking, heart rate monitoring, and built-in GPS, designed to help you stay on top of your health goals.",Green,73.87,65.61,60.65,7.28,Plastic,Bosnia and Herzegovina,2024/5/25,2024/6/24,2024/1/29,FALSE
21,Breville Smart Oven,https://placekitten.com/827/296,832,704.12,40,"A wireless mouse with advanced precision and ergonomic design, perfect for professionals and everyday use.",Black,34.8,79.25,90.04,0.67,Metal,Saudi Arabia,2024/8/6,2024/8/22,2024/9/23,TRUE
22,Logitech MX Master 3 Mouse,https://dummyimage.com/957x450,618,474.17,26,"A high-performance smartphone with a 120Hz display and a powerful camera, great for photography enthusiasts.",Black,66.3,46.02,50.45,7.82,Plastic,Holy See (Vatican City State),2024/9/2,2024/2/29,2024/6/27,FALSE
23,Apple AirPods Pro,https://placeimg.com/573/85/any,20,55.17,62,A powerful cordless vacuum that captures deep-down dirt and pet hair with ease. Ideal for homes with pets.,Yellow,88.18,99.78,52.16,8.97,Textile,Afghanistan,2024/8/19,2024/2/11,2024/10/2,TRUE
24,KitchenAid Stand Mixer,https://www.lorempixel.com/456/613,187,308.78,29,A smart video doorbell that lets you see and talk to visitors from anywhere via your smartphone.,Yellow,21.52,38.96,28.73,1.33,Textile,Kyrgyz Republic,2024/5/14,2024/2/25,2024/6/28,TRUE
25,GoPro HERO9 Action Camera,https://placeimg.com/325/143/any,321,824.47,79,"A smartwatch with fitness tracking, heart rate monitoring, and built-in GPS, designed to help you stay on top of your health goals.",Yellow,57.19,7.19,85.79,7.56,Wood,France,2024/1/5,2024/6/22,2024/9/5,FALSE
26,Nespresso Vertuo Coffee Machine,https://placeimg.com/947/788/any,535,174.85,42,"A stunning 4K television with vivid colors and high dynamic range (HDR), offering a great viewing experience.",Red,88.18,21.02,42.81,7.29,Wood,Jordan,2024/4/8,2024/9/15,2024/8/31,TRUE
27,Anova Precision Cooker,https://dummyimage.com/909x903,423,225.05,24,A powerful cordless vacuum that captures deep-down dirt and pet hair with ease. Ideal for homes with pets.,Green,53.7,30.6,42.72,0.33,Glass,Nicaragua,2024/1/22,2024/7/16,2024/5/9,FALSE
28,Bose SoundLink Bluetooth Speaker,https://placekitten.com/12/347,104,202.18,48,"High-quality wireless earbuds with active noise cancellation and superior sound quality, perfect for daily commuting.",Black,21.97,99.77,91.65,4.35,Metal,Kyrgyz Republic,2024/1/11,2024/2/27,2024/5/31,FALSE
29,Bose SoundLink Bluetooth Speaker,https://placeimg.com/929/573/any,566,210.93,18,A versatile pressure cooker that lets you cook meals up to 70% faster than traditional methods. Great for busy families.,Black,31.42,57.71,12.53,4.96,Metal,Puerto Rico,2024/4/5,2024/1/30,2024/8/9,FALSE
30,KitchenAid Stand Mixer,https://placekitten.com/196/307,28,145.66,77,"A precision cooker that allows you to cook restaurant-quality meals at home, sous-vide style.",Black,43.76,8.15,15.91,7.67,Metal,Russian Federation,2024/4/26,2024/2/22,2024/1/4,TRUE
31,Breville Smart Oven,https://dummyimage.com/812x336,804,432.36,23,"A portable gaming console that lets you play your favorite games anywhere, anytime. Ideal for gamers on the go.",Black,72.58,13.82,3.75,9.76,Glass,Saint Lucia,2024/3/30,2024/2/22,2024/5/26,TRUE
32,HP Envy 6055 Printer,https://dummyimage.com/574x325,422,581.97,7,"A stunning 4K television with vivid colors and high dynamic range (HDR), offering a great viewing experience.",Blue,36.67,56.78,58.05,8.7,Glass,Algeria,2024/9/20,2024/9/9,2024/8/16,TRUE
33,Nespresso Vertuo Coffee Machine,https://placeimg.com/61/355/any,86,401.95,5,A powerful cordless vacuum that captures deep-down dirt and pet hair with ease. Ideal for homes with pets.,Yellow,74.91,35.83,61.46,5.81,Textile,Malta,2024/9/4,2024/1/16,2024/3/14,TRUE
34,Nespresso Vertuo Coffee Machine,https://www.lorempixel.com/892/566,913,99.01,74,"A high-performance smartphone with a 120Hz display and a powerful camera, great for photography enthusiasts.",Yellow,41.05,10.98,28.69,6.32,Wood,Finland,2024/1/15,2024/6/16,2024/8/18,TRUE
35,Canon EOS Rebel T7 DSLR,https://dummyimage.com/168x604,825,72.52,8,"A powerful stand mixer with multiple attachments, perfect for baking enthusiasts who love to make bread, cookies, and more.",Black,98.22,32.95,28.64,3.3,Wood,Guinea,2024/2/10,2024/3/15,2024/9/13,TRUE
36,HP Envy 6055 Printer,https://dummyimage.com/59x524,389,484.88,51,"A smart robot vacuum that cleans your home effortlessly, designed for homes with pets and allergies.",Black,71.19,40.05,69.39,9.23,Wood,Paraguay,2024/1/17,2024/8/23,2024/5/13,FALSE
37,Bose SoundLink Bluetooth Speaker,https://www.lorempixel.com/1/955,886,242.89,98,"Noise-cancelling headphones with exceptional sound and long battery life, making them perfect for travel and work.",Red,69.62,61.34,70.76,0.57,Wood,Saudi Arabia,2024/4/11,2024/7/3,2024/2/6,TRUE
38,iRobot Roomba 960,https://placeimg.com/387/41/any,983,96.24,16,"A portable Bluetooth speaker that delivers crisp sound quality with deep bass, ideal for outdoor gatherings and parties.",Yellow,69.99,5.77,3.65,9.97,Glass,Zambia,2024/3/19,2024/9/27,2024/4/29,TRUE
39,iRobot Roomba 960,https://placekitten.com/591/605,790,958.66,79,A powerful cordless vacuum that captures deep-down dirt and pet hair with ease. Ideal for homes with pets.,White,99.29,6.65,34.77,2.23,Textile,Ukraine,2024/1/5,2024/2/26,2024/3/31,FALSE
40,Instant Pot Duo,https://placeimg.com/819/267/any,970,912.08,14,"High-quality wireless earbuds with active noise cancellation and superior sound quality, perfect for daily commuting.",White,56.7,65.34,86.54,3.55,Glass,Somalia,2024/8/4,2024/1/8,2024/8/10,FALSE
41,Nintendo Switch,https://placekitten.com/987/891,546,845.05,75,"High-quality wireless earbuds with active noise cancellation and superior sound quality, perfect for daily commuting.",Blue,13.42,72.05,81.96,5.03,Metal,Peru,2024/1/6,2024/2/3,2024/8/28,TRUE
42,TCL 55" 4K TV,https://www.lorempixel.com/142/552,393,769.88,6,"A portable Bluetooth speaker that delivers crisp sound quality with deep bass, ideal for outdoor gatherings and parties.",Black,89.43,73.89,89,5.18,Plastic,Iran,2024/7/13,2024/10/4,2024/4/2,TRUE
43,Tile Mate Key Finder,https://placekitten.com/258/297,250,217.55,40,"Noise-cancelling headphones with exceptional sound and long battery life, making them perfect for travel and work.",Red,11.3,3.95,96,6.29,Wood,Botswana,2024/1/17,2024/2/10,2024/1/14,TRUE
44,Tile Mate Key Finder,https://placeimg.com/473/67/any,626,955.34,29,"A powerful stand mixer with multiple attachments, perfect for baking enthusiasts who love to make bread, cookies, and more.",Yellow,83.97,11.22,78.55,0.38,Textile,Saint Helena,2024/5/24,2024/2/21,2024/8/19,FALSE
45,Ring Video Doorbell,https://www.lorempixel.com/393/106,665,278.79,5,"A smartwatch with fitness tracking, heart rate monitoring, and built-in GPS, designed to help you stay on top of your health goals.",Blue,72.99,96.79,27.3,9.42,Glass,France,2024/5/1,2024/9/5,2024/3/23,TRUE
46,Bose SoundLink Bluetooth Speaker,https://placekitten.com/520/164,526,240.56,19,"A versatile countertop oven that does everything from toasting to air frying, making it a must-have in any kitchen.",Green,49.25,19.99,24.76,3.11,Metal,Bolivia,2024/8/28,2024/6/8,2024/4/20,TRUE
47,Nintendo Switch,https://dummyimage.com/144x579,23,412.65,20,"A wireless mouse with advanced precision and ergonomic design, perfect for professionals and everyday use.",Black,59.06,59.43,80.76,0.73,Plastic,Sierra Leone,2024/4/23,2024/10/5,2024/1/18,TRUE
48,Breville Smart Oven,https://placeimg.com/290/568/any,949,100.98,65,"A premium coffee machine that brews both coffee and espresso with one button, delivering café-style beverages at home.",White,75.73,87.26,67.55,2.19,Plastic,Kenya,2024/8/4,2024/4/17,2024/8/14,FALSE
49,Instant Pot Duo,https://placekitten.com/372/506,516,928.67,63,"A high-performance smartphone with a 120Hz display and a powerful camera, great for photography enthusiasts.",Blue,15.35,88.92,27.29,7.84,Metal,Portugal,2024/9/18,2024/6/29,2024/6/10,TRUE
50,Apple AirPods Pro,https://dummyimage.com/267x799,35,993.83,3,"An all-in-one printer that offers wireless printing, scanning, and copying, ideal for home offices.",Green,66.41,29.19,9.72,2.16,Metal,Afghanistan,2024/4/11,2024/9/1,2024/5/31,TRUE
51,Instant Pot Duo,https://www.lorempixel.com/994/907,143,213.37,7,"High-quality wireless earbuds with active noise cancellation and superior sound quality, perfect for daily commuting.",Black,22.5,44.24,29.18,0.78,Glass,Burundi,2024/10/1,2024/6/21,2024/5/16,TRUE
52,iRobot Roomba 960,https://placeimg.com/120/573/any,654,478.16,13,"A smartwatch with fitness tracking, heart rate monitoring, and built-in GPS, designed to help you stay on top of your health goals.",White,72.5,59.01,86.46,8.4,Wood,Bouvet Island (Bouvetoya),2024/7/22,2024/7/28,2024/4/11,FALSE
53,Instant Pot Duo,https://dummyimage.com/22x70,674,543.38,39,"Noise-cancelling headphones with exceptional sound and long battery life, making them perfect for travel and work.",Blue,50.94,16.32,43.03,9.73,Metal,Timor-Leste,2024/9/10,2024/3/9,2024/1/12,TRUE
54,Nespresso Vertuo Coffee Machine,https://placekitten.com/596/919,129,510.95,93,"A high-performance smartphone with a 120Hz display and a powerful camera, great for photography enthusiasts.",Yellow,75.24,46.53,57.9,1.77,Glass,Guyana,2024/6/14,2024/8/30,2024/5/28,FALSE
55,TCL 55" 4K TV,https://placeimg.com/198/428/any,386,434.16,16,A smart video doorbell that lets you see and talk to visitors from anywhere via your smartphone.,Red,15.23,27.03,48.44,5.67,Plastic,Algeria,2024/3/19,2024/8/9,2024/3/15,TRUE
56,Nintendo Switch,https://dummyimage.com/88x146,37,533.28,50,"A portable gaming console that lets you play your favorite games anywhere, anytime. Ideal for gamers on the go.",Red,34.08,94.54,76.58,3.81,Glass,Saint Martin,2024/7/8,2024/6/30,2024/5/26,FALSE
57,Logitech MX Master 3 Mouse,https://placekitten.com/1001/632,26,485.14,85,"A portable Bluetooth speaker that delivers crisp sound quality with deep bass, ideal for outdoor gatherings and parties.",Green,34.83,42.12,89.71,3.5,Wood,Nigeria,2024/8/30,2024/3/20,2024/6/30,FALSE
58,iRobot Roomba 960,https://placekitten.com/668/114,711,431.19,56,A smart video doorbell that lets you see and talk to visitors from anywhere via your smartphone.,Red,4.02,31.16,13.55,1.97,Plastic,Mayotte,2024/3/19,2024/9/19,2024/4/15,FALSE
59,Nintendo Switch,https://dummyimage.com/780x556,357,793.4,85,A versatile pressure cooker that lets you cook meals up to 70% faster than traditional methods. Great for busy families.,White,53.77,48.12,94.98,0.52,Wood,Greece,2024/7/29,2024/5/5,2024/7/25,FALSE
60,Breville Smart Oven,https://dummyimage.com/699x350,754,916.49,30,"A portable gaming console that lets you play your favorite games anywhere, anytime. Ideal for gamers on the go.",Blue,61.45,3.38,5.16,4.55,Wood,Burundi,2024/1/8,2024/2/14,2024/4/24,TRUE
61,Nintendo Switch,https://placekitten.com/706/467,537,783.68,63,"A wireless mouse with advanced precision and ergonomic design, perfect for professionals and everyday use.",Black,76.43,25.41,48.9,8.07,Wood,Kenya,2024/4/16,2024/2/14,2024/1/23,TRUE
62,Nespresso Vertuo Coffee Machine,https://www.lorempixel.com/56/463,514,173.66,97,"A portable Bluetooth speaker that delivers crisp sound quality with deep bass, ideal for outdoor gatherings and parties.",Green,54.3,91.35,51.26,5.48,Metal,Uruguay,2024/10/8,2024/4/16,2024/2/11,FALSE
63,Sony WH-1000XM4 Headphones,https://www.lorempixel.com/818/495,262,74.05,69,"A portable gaming console that lets you play your favorite games anywhere, anytime. Ideal for gamers on the go.",Black,78.44,41.6,9.53,2.88,Textile,Belize,2024/3/10,2024/1/27,2024/9/30,TRUE
64,Sony WH-1000XM4 Headphones,https://placeimg.com/752/985/any,203,601.81,72,"A compact Bluetooth tracker that helps you find your keys, wallet, or phone with ease.",Blue,32.74,53.99,83.01,0.75,Textile,Papua New Guinea,2024/4/12,2024/3/10,2024/2/25,FALSE
65,iRobot Roomba 960,https://dummyimage.com/466x508,299,913.39,62,"High-quality wireless earbuds with active noise cancellation and superior sound quality, perfect for daily commuting.",Black,84.46,68.05,52.99,8.15,Metal,Belize,2024/4/15,2024/6/21,2024/8/19,TRUE
66,HP Envy 6055 Printer,https://placekitten.com/793/280,867,91.28,15,"A user-friendly DSLR camera ideal for beginners, with a range of features to help you capture stunning photos and videos.",Yellow,28.3,26.29,85.09,8.08,Textile,Finland,2024/6/8,2024/6/7,2024/7/19,TRUE
67,iRobot Roomba 960,https://placeimg.com/597/75/any,380,325.01,34,"A premium coffee machine that brews both coffee and espresso with one button, delivering café-style beverages at home.",White,91.48,91.66,53.72,8.47,Glass,British Indian Ocean Territory (Chagos Archipelago),2024/7/1,2024/8/6,2024/8/4,FALSE
68,Logitech MX Master 3 Mouse,https://www.lorempixel.com/827/673,407,677.91,40,"A user-friendly DSLR camera ideal for beginners, with a range of features to help you capture stunning photos and videos.",Black,8.3,87.66,6.58,2.25,Textile,Korea,2024/7/10,2024/9/1,2024/8/11,FALSE
69,Samsung Galaxy S21,https://dummyimage.com/1012x110,437,363.84,29,"A premium coffee machine that brews both coffee and espresso with one button, delivering café-style beverages at home.",Yellow,68.54,39.18,37.5,3.12,Wood,Guyana,2024/5/22,2024/3/14,2024/6/4,TRUE
70,HP Envy 6055 Printer,https://dummyimage.com/446x133,53,103.1,19,"A wireless mouse with advanced precision and ergonomic design, perfect for professionals and everyday use.",Blue,90.58,83.03,17.75,2.34,Textile,Congo,2024/8/21,2024/4/13,2024/8/18,TRUE
71,iRobot Roomba 960,https://placeimg.com/332/880/any,151,894.79,36,"An all-in-one printer that offers wireless printing, scanning, and copying, ideal for home offices.",Red,53.22,88.44,56.26,7.07,Glass,Portugal,2024/2/5,2024/10/5,2024/7/16,FALSE
72,Apple AirPods Pro,https://dummyimage.com/19x198,605,12.89,10,"An all-in-one printer that offers wireless printing, scanning, and copying, ideal for home offices.",Yellow,1.96,72.15,78.9,1.3,Wood,Guernsey,2024/2/13,2024/9/2,2024/4/14,FALSE
73,HP Envy 6055 Printer,https://placekitten.com/851/112,93,710.17,74,"A smartwatch with fitness tracking, heart rate monitoring, and built-in GPS, designed to help you stay on top of your health goals.",Black,78.59,52.35,9.67,5.9,Textile,Vanuatu,2024/2/26,2024/6/15,2024/7/25,FALSE
74,TCL 55" 4K TV,https://placekitten.com/1009/223,48,225.59,79,A smart video doorbell that lets you see and talk to visitors from anywhere via your smartphone.,White,76.98,61.8,4.06,8.01,Textile,Congo,2024/6/24,2024/6/17,2024/8/8,TRUE
75,Instant Pot Duo,https://placeimg.com/937/962/any,911,625.11,66,"An all-in-one printer that offers wireless printing, scanning, and copying, ideal for home offices.",Blue,62.03,89.72,86.81,2.86,Plastic,Dominican Republic,2024/2/1,2024/5/16,2024/4/8,FALSE
76,Dyson V11 Vacuum,https://placeimg.com/56/22/any,721,790.49,52,"A portable Bluetooth speaker that delivers crisp sound quality with deep bass, ideal for outdoor gatherings and parties.",White,81.87,38.58,50.28,6.35,Textile,Norfolk Island,2024/4/10,2024/5/22,2024/1/28,TRUE
77,Bose SoundLink Bluetooth Speaker,https://www.lorempixel.com/1009/837,847,562.26,33,A versatile pressure cooker that lets you cook meals up to 70% faster than traditional methods. Great for busy families.,Red,19.29,47.7,28.77,3.72,Plastic,Mozambique,2024/9/23,2024/1/21,2024/5/15,TRUE
78,iRobot Roomba 960,https://www.lorempixel.com/353/446,658,178.27,57,"A wireless mouse with advanced precision and ergonomic design, perfect for professionals and everyday use.",Blue,76.18,88.99,45.4,3.11,Textile,Cameroon,2024/3/4,2024/7/29,2024/8/16,TRUE
79,Canon EOS Rebel T7 DSLR,https://www.lorempixel.com/410/330,342,703.23,86,A powerful cordless vacuum that captures deep-down dirt and pet hair with ease. Ideal for homes with pets.,Green,91.27,91.47,32.82,2.51,Plastic,Cyprus,2024/7/24,2024/5/23,2024/7/20,FALSE
80,Instant Pot Duo,https://www.lorempixel.com/514/339,685,412.54,99,"An all-in-one printer that offers wireless printing, scanning, and copying, ideal for home offices.",Blue,64.47,67.57,46.82,0.36,Glass,Tonga,2024/5/6,2024/6/23,2024/2/12,TRUE
81,Bose SoundLink Bluetooth Speaker,https://www.lorempixel.com/164/675,82,587.72,21,"High-quality wireless earbuds with active noise cancellation and superior sound quality, perfect for daily commuting.",Yellow,60.93,68.85,30.94,7.46,Plastic,Chile,2024/5/24,2024/3/3,2024/8/5,TRUE
82,TCL 55" 4K TV,https://placekitten.com/541/221,528,293.7,82,"A durable and waterproof action camera that captures stunning 5K video, perfect for adventure seekers.",Green,23.15,20.94,64.56,2.6,Wood,Gambia,2024/4/11,2024/5/26,2024/1/6,FALSE
83,Canon EOS Rebel T7 DSLR,https://placekitten.com/393/885,746,412.51,23,"Noise-cancelling headphones with exceptional sound and long battery life, making them perfect for travel and work.",Black,94.75,59.22,8.45,5.15,Wood,South Africa,2024/2/12,2024/3/29,2024/6/11,TRUE
84,Apple AirPods Pro,https://dummyimage.com/462x978,218,823.84,4,"A portable Bluetooth speaker that delivers crisp sound quality with deep bass, ideal for outdoor gatherings and parties.",Yellow,69.37,62.25,41.55,4.93,Textile,Congo,2024/5/14,2024/5/26,2024/3/24,TRUE
85,Anova Precision Cooker,https://placeimg.com/144/687/any,432,872.45,72,"Noise-cancelling headphones with exceptional sound and long battery life, making them perfect for travel and work.",Green,38.15,82.06,78.78,7.06,Textile,Paraguay,2024/3/11,2024/5/2,2024/1/16,FALSE
86,TCL 55" 4K TV,https://placekitten.com/521/1006,338,509.39,27,A powerful cordless vacuum that captures deep-down dirt and pet hair with ease. Ideal for homes with pets.,Black,22.12,92.53,22.52,8.85,Glass,Tonga,2024/4/13,2024/2/8,2024/9/8,TRUE
87,Nintendo Switch,https://dummyimage.com/26x701,473,393.9,48,"A wireless mouse with advanced precision and ergonomic design, perfect for professionals and everyday use.",Black,18.58,28.4,77.86,0.34,Wood,Ecuador,2024/6/16,2024/5/8,2024/8/15,TRUE
88,Apple AirPods Pro,https://placekitten.com/7/5,684,394.88,82,"A versatile countertop oven that does everything from toasting to air frying, making it a must-have in any kitchen.",Black,48.3,95.4,95.06,9.34,Wood,Slovakia (Slovak Republic),2024/8/27,2024/3/5,2024/7/20,FALSE
89,Nintendo Switch,https://dummyimage.com/536x348,374,808.43,99,"A smart robot vacuum that cleans your home effortlessly, designed for homes with pets and allergies.",Red,37.56,95.71,67.41,6.36,Glass,Botswana,2024/1/10,2024/7/5,2024/4/18,FALSE
90,Nespresso Vertuo Coffee Machine,https://dummyimage.com/314x96,999,844.24,46,"An all-in-one printer that offers wireless printing, scanning, and copying, ideal for home offices.",White,83.93,99.13,82.93,4.14,Plastic,Mozambique,2024/1/6,2024/7/8,2024/1/8,TRUE
91,Instant Pot Duo,https://placekitten.com/729/741,674,402.19,1,"A stunning 4K television with vivid colors and high dynamic range (HDR), offering a great viewing experience.",Yellow,82.8,93.84,53.51,5.94,Textile,Albania,2024/3/12,2024/9/2,2024/7/22,FALSE
92,Logitech MX Master 3 Mouse,https://dummyimage.com/921x911,414,954.99,90,"A premium coffee machine that brews both coffee and espresso with one button, delivering café-style beverages at home.",Blue,45.95,23.91,20,0.38,Metal,Saint Barthelemy,2024/7/27,2024/7/18,2024/1/24,TRUE
93,Instant Pot Duo,https://www.lorempixel.com/285/570,548,528.59,83,"A precision cooker that allows you to cook restaurant-quality meals at home, sous-vide style.",Red,67.89,1.7,93.25,0.57,Textile,Nauru,2024/8/2,2024/9/1,2024/3/26,FALSE
94,HP Envy 6055 Printer,https://www.lorempixel.com/122/405,453,920.2,91,"A smart robot vacuum that cleans your home effortlessly, designed for homes with pets and allergies.",Red,60.4,23.47,38.21,5.74,Wood,Hungary,2024/3/19,2024/4/9,2024/6/29,TRUE
95,GoPro HERO9 Action Camera,https://placeimg.com/12/83/any,752,950.81,12,A powerful cordless vacuum that captures deep-down dirt and pet hair with ease. Ideal for homes with pets.,Yellow,92.91,35.87,66.4,0.16,Glass,Cyprus,2024/10/10,2024/4/16,2024/2/21,FALSE
96,Sony WH-1000XM4 Headphones,https://placeimg.com/554/238/any,677,478.03,68,"A compact Bluetooth tracker that helps you find your keys, wallet, or phone with ease.",Black,4.86,39.3,39.27,3.37,Plastic,United States Virgin Islands,2024/10/2,2024/1/28,2024/4/3,FALSE
97,Breville Smart Oven,https://www.lorempixel.com/927/84,990,586.57,61,"A portable Bluetooth speaker that delivers crisp sound quality with deep bass, ideal for outdoor gatherings and parties.",Green,54.53,8.96,61.34,3.18,Glass,United States Minor Outlying Islands,2024/1/9,2024/8/8,2024/9/18,TRUE
98,Tile Mate Key Finder,https://placekitten.com/1003/405,777,658.08,42,A powerful cordless vacuum that captures deep-down dirt and pet hair with ease. Ideal for homes with pets.,Yellow,70.94,84.01,88.83,6.17,Wood,Slovenia,2024/4/27,2024/6/15,2024/5/27,FALSE
99,Canon EOS Rebel T7 DSLR,https://placeimg.com/294/863/any,85,549.31,60,"High-quality wireless earbuds with active noise cancellation and superior sound quality, perfect for daily commuting.",Black,6.4,15.49,37.94,1.66,Plastic,Afghanistan,2024/1/30,2024/8/30,2024/2/2,FALSE
100,Dyson V11 Vacuum,https://dummyimage.com/847x830,711,477.89,7,A smart video doorbell that lets you see and talk to visitors from anywhere via your smartphone.,White,38.78,57.07,75.32,0.56,Wood,Jersey,2024/3/23,2024/6/29,2024/4/29,FALSE
